Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Calvary Baptist Church,Church,White,full address provided,1728 Hermosa St. ,"New Orleans, Louisiana",70114,"1728 Hermosa St.  New Orleans, Louisiana 70114",29.9374093,-90.048516
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Canal Blvd. Baptist Church,Church,White,full address provided,5324 Canal Blvd.,"New Orleans, Louisiana",70124,"5324 Canal Blvd. New Orleans, Louisiana 70124",29.9873655,-90.1102697
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Carrollton Ave. Baptist Church,Church,White,S. Carrollton Ave. and Nelson St.,2435 S Carrollton Ave.,"New Orleans, Louisiana",70118,"2435 S Carrollton Ave. New Orleans, Louisiana 70118",29.9563614,-90.1194924
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Central Baptist Church,Church,White,full address provided,129 S. Jefferson Davis Pkwy. ,"New Orleans, Louisiana",70119,"129 S. Jefferson Davis Pkwy.  New Orleans, Louisiana  70119",29.9697059,-90.095153
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Coliseum Place Baptist Church,Church,White,full address provided,1376 Camp St.,"New Orleans, Louisiana",70130,"1376 Camp St. New Orleans, Louisiana  70130",29.9367167,-90.0726658
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Emanuel Baptist Church,Church,White,full address provided,1017 N. Dorgenois St.,"New Orleans, Louisiana",70119,"1017 N. Dorgenois St. New Orleans, Louisiana  70119",29.972619,-90.079343
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,First Baptist Church,Church,White,full address provided,3436 St. Charles Ave.,"New Orleans, Louisiana",70115,"3436 St. Charles Ave. New Orleans, Louisiana  70115",29.9275479,-90.0923868
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,First Baptist Church,Church,White,Opelousas Ave. and Seguin St.,501 Opelousas Ave. ,"New Orleans, Louisiana",70114,"501 Opelousas Ave.  New Orleans, Louisiana  70114",29.948294,-90.0509337
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Franklin Ave. Baptist Church,Church,White,full address provided,2515 Franklin Ave.,"New Orleans, Louisiana",70117,"2515 Franklin Ave. New Orleans, Louisiana  70117",29.9840093,-90.0483364
Baptist,Southern Baptist Convention,Louisiana State Baptist Convention; New Orleans Baptist Association,Gentilly Baptist Church,Church,White,Cor. Franklin and Dreaux Aves.,5141 Franklin Ave.,"New Orleans, Louisiana",70122,"5141 Franklin Ave. New Orleans, Louisiana 70122",30.011687,-90.0505529
