Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Louis Cathedral,Church,White,Chartres between St. Peter and St. Ann Streets,615 Pere Antoine Alley,"New Orleans, Louisiana",70116,"615 Pere Antoine Alley New Orleans, Louisiana 70116",29.9579567,-90.0636679
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Annunciation Church,Church,White,full address provided,1221 Mandeville St.,"New Orleans, Louisiana",70117,"1221 Mandeville St. New Orleans, Louisiana 70117",29.9701579,-90.0543158
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Holy Name of Jesus Church,Church,White,full address provided,6363 St. Charles Ave.,"New Orleans, Louisiana",70118,"6363 St. Charles Ave. New Orleans, Louisiana 70118",29.9347795,-90.1208818
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Holy Name of Mary Church,Church,White,full address provided,423 Olivier St.,"New Orleans, Louisiana",70114,"423 Olivier St. New Orleans, Louisiana 70114",29.9518113,-90.0502354
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Holy Trinity (German) Church,Church,German,full address provided,721 St. Ferdinand St.,"New Orleans, Louisiana",70117,"721 St. Ferdinand St. New Orleans, Louisiana 70117",29.9649067,-90.0490839
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Immaculate Conception Church,Church,White,full address provided,132 Baronne St.,"New Orleans, Louisiana",70112,"132 Baronne St. New Orleans, Louisiana 70112",29.9536334,-90.0715988
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Incarnate Word Church,Church,White,full address provided,8316 Apricot St.,"New Orleans, Louisiana",70118,"8316 Apricot St. New Orleans, Louisiana 70118",29.9603356,-90.1197608
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Mater Dolorosa Church*,Church,White,S. Carrollton Ave. and Plum St.,1230 S Carrollton Ave.,"New Orleans, Louisiana",70118,"1230 S Carrollton Ave. New Orleans, Louisiana 70118",29.948107,-90.1295004
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Mother of Perpetual Help Chapel,Church,White,full address provided,2523 Prytania St.,"New Orleans, Louisiana",70130,"2523 Prytania St. New Orleans, Louisiana 70130",29.9310623,-90.0833488
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,0ur Lady of Good Counsel Church,Church,White,full address provided,1307 Louisiana Ave.,"New Orleans, Louisiana",70115,"1307 Louisiana Ave. New Orleans, Louisiana 70115",29.925189,-90.0896076
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,0ur Lady of Guadalupe Church,Church,White,full address provided, 1101 Conti St.,"New Orleans, Louisiana",70112,"1101 Conti St. New Orleans, Louisiana 70112",29.9582089,-90.070573
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,0ur Lady of the Holy Rosary,Church,White,full address provided,3368 Esplanade Ave.,"New Orleans, Louisiana",70119,"3368 Esplanade Ave. New Orleans, Louisiana 70119",29.9810268,-90.0869395
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,0ur Lady of Lourdos Church,Church,White,full address provided,2406 Napoloon Ave.,"New Orleans, Louisiana",70115,"2406 Napoloon Ave. New Orleans, Louisiana 70115",29.934322,-90.1031226
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,0ur Lady of the Sacred Heart Church,Church,White,full address provided,1720 St. Bernard Ave .,"New Orleans, Louisiana",70116,"1720 St. Bernard Ave. New Orleans, Louisiana 70116",29.9736301,-90.0666843
