Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Spiritualist,n/a,n/a,First Church Divine Fellowship of Spiritualists,Church,White,full address provided,823 Spain St.,"New Orleans, Louisiana",70117,"823 Spain St. New Orleans, Louisiana 70117",29.966353,-90.052811
Spiritualist,n/a,n/a,Little Theresa Spiritual Chapel of Mercy,Church,White,full address provided,2914 Tulane Ave.,"New Orleans, Louisiana",70119,"2914 Tulane Ave. New Orleans, Louisiana 70119",29.962948,-90.093905
Spiritualist,n/a,n/a,Mother Divine Spiritual Church,Church,White,full address provided,1031 Orleans St.,"New Orleans, Louisiana",70116,"1031 Orleans St. New Orleans, Louisiana 70116",29.9606967,-90.0676793
Spiritualist,n/a,n/a,Sacred Heart Spiritual Church No. 1,Church,White,full address provided,1821 N. Villere St.,"New Orleans, Louisiana",70116,"1821 N. Villere St. New Orleans, Louisiana 70116",29.971614,-90.061238
Spiritualist,n/a,n/a,Sacred Heart Spiritual Church No. 2,Church,White,full address provided,1738 Amelia St.,"New Orleans, Louisiana",70115,"1738 Amelia St. New Orleans, Louisiana 70115",29.9290767,-90.0955161
Spiritualist,n/a,n/a,St. Beatrice of the Holy Cross Spiritual Church of Psychic Research,Church,White,full address provided,3215 Annunciation St.,"New Orleans, Louisiana",70115,"3215 Annunciation St. New Orleans, Louisiana 70115",29.9212914,-90.0854476
Spiritualist,n/a,n/a,St. Helena's Spiritual Chapel (In Home),Church,White,full address provided,816 Antonine St.,"New Orleans, Louisiana",70115,"816 Antonine St. New Orleans, Louisiana 70115",29.919393,-90.091933
Spiritualist,n/a,n/a,St. Joseph's Healing Chapel,Church,White,full address provided,3129 Orleans St.,"New Orleans, Louisiana",70119,"3129 Orleans St. New Orleans, Louisiana 70119",29.9744646,-90.0879737
Spiritualist,n/a,n/a,Beacon Light Church,Church,Black,full address provided,1814 Clouet St.,"New Orleans, Louisiana",70117,"1814 Clouet St. New Orleans, Louisiana 70117",29.975186,-90.042185
Spiritualist,n/a,n/a,Beacon Light Divine Spiritualist Church,Church,Black,full address provided,2333 Piety St.,"New Orleans, Louisiana",70117,"2333 Piety St. New Orleans, Louisiana 70117",29.9800778,-90.0374113
Spiritualist,n/a,n/a,Beacon Light Divine Spiritualist Church No. 6,Church,Black,full address provided,2414 Feliciana St.,"New Orleans, Louisiana",70117,"2414 Feliciana St. New Orleans, Louisiana 70117",29.981598,-90.041129
Spiritualist,n/a,n/a,Beacon Light Spiritualist Church,Church,Black,full address provided,2616 Gallier St.,"New Orleans, Louisiana",70117,"2616 Gallier St. New Orleans, Louisiana 70117",29.982516,-90.035135
Spiritualist,n/a,n/a,Blessed Mother Spiritualist Temple No. l,Church,Black,full address provided,2724 S. Claiborne Ave.,"New Orleans, Louisiana",70113,"2724 S. Claiborne Ave. New Orleans, Louisiana 70113",29.9423827,-90.0937167
Spiritualist,n/a,n/a,Christ Christian Spiritualist Mission,Church,Black,full address provided,3315 Second St.,"New Orleans, Louisiana",70125,"3315 Second St. New Orleans, Louisiana 70125",29.9467421,-90.094064
Spiritualist,n/a,n/a,Christ Divine Spiritual Church of the Southwest,Church,Black,full address provided,2045 Law St.,"New Orleans, Louisiana",70119,"2045 Law St. New Orleans, Louisiana 70119",29.9836329,-90.0634746
Spiritualist,n/a,n/a,Christ Universal Church,Church,Black,full address provided,2515 First St.,"New Orleans, Louisiana",70113,"2515 First St. New Orleans, Louisiana 70113",29.940787,-90.0885212
Spiritualist,n/a,n/a,Christian Light Mission,Church,Black,full address provided,2053 Lafayette St.,"New Orleans, Louisiana",70113,"2053 Lafayette St. New Orleans, Louisiana 70113",29.9494627,-90.0759487
Spiritualist,n/a,n/a,Christian Sunlight Spiritual Mission Church,Church,Black,full address provided,422 N. Prieur St.,"New Orleans, Louisiana",70112,"422 N. Prieur St. New Orleans, Louisiana 70112",29.9637148,-90.0777605
Spiritualist,n/a,n/a,Church of God In Christ,Church,Black,full address provided,1432 Flood St.,"New Orleans, Louisiana",70117,"1432 Flood St. New Orleans, Louisiana 70117",29.965205,-90.01586
Spiritualist,n/a,n/a,Church of God In Christ,Church,Black,full address provided,9000 Edinburgh St.,"New Orleans, Louisiana",70118,"9000 Edinburgh St. New Orleans, Louisiana 70118",29.9698808,-90.1195961
Spiritualist,n/a,n/a,Church of Living God,Church,Black,full address provided,2761 Perdido St.,"New Orleans, Louisiana",70119,"2761 Perdido St. New Orleans, Louisiana 70119",29.9610358,-90.0935478
Spiritualist,n/a,n/a,Eternal Cospel of Christ's Eternal Truth No. 2,Church,Black,full address provided,2210 Pauger St.,"New Orleans, Louisiana",70116,"2210 Pauger St. New Orleans, Louisiana 70116",29.9726221,-90.0609477
Spiritualist,n/a,n/a,Eternal Life Spiritual Church,Church,Black,full address provided,1200 St. Philip St.,"New Orleans, Louisiana",70116,"1200 St. Philip St. New Orleans, Louisiana 70116",29.9636576,-90.0672338
Spiritualist,n/a,n/a,Eternal Light Spiritual Church,Church,Black,full address provided,2817 N. Roman St.,"New Orleans, Louisiana",70117,"2817 N. Roman St. New Orleans, Louisiana 70117",29.975858,-90.045473
Spiritualist,n/a,n/a,Eternal Love of Christian Faith No. l Spiritual Church,Church,Black,full address provided,2123 Clio St.,"New Orleans, Louisiana",70113,"2123 Clio St. New Orleans, Louisiana 70113",29.945276,-90.080264
Spiritualist,n/a,n/a,Eternal Love of Christian Faith No. 2,Church,Black,full address provided,8515 Hickory St.,"New Orleans, Louisiana",70118,"8515 Hickory St. New Orleans, Louisiana 70118",29.9547279,-90.1287817
Spiritualist,n/a,n/a,Evening Star Spiritual Church,Church,Black,full address provided,1501 Delery St.,"New Orleans, Louisiana",70117,"1501 Delery St. New Orleans, Louisiana 70117",29.962629,-90.006143
Spiritualist,n/a,n/a,Everlasting Gospel of Christ Church,Church,Black,full address provided,2040 Law St.,"New Orleans, Louisiana",70119,"2040 Law St. New Orleans, Louisiana 70119",29.9832521,-90.0634269
Spiritualist,n/a,n/a,Everlasting Gospel of Christ Eternal Truth Divine Spiritual Church,Church,Black,full address provided,2216 Gravier St.,"New Orleans, Louisiana",70119,"2216 Gravier St. New Orleans, Louisiana 70119",29.958148,-90.086585
Spiritualist,n/a,n/a,Expedite Temple Church,Church,Black,full address provided,3832 Holly Grove St.,"New Orleans, Louisiana",70118,"3832 Holly Grove St. New Orleans, Louisiana 70118",29.9725002,-90.1171086
Spiritualist,n/a,n/a,"Faith, Hope and Charity Spiritual Chapel",Church,Black,full address provided,5317 N. Claiborne Ave.,"New Orleans, Louisiana",70117,"5317 N. Claiborne Ave. New Orleans, Louisiana 70117",29.9671944,-90.0174459
Spiritualist,n/a,n/a,Grace Chapel Spiritualist Church,Church,Black,full address provided,5423 N. Derbigny St.,"New Orleans, Louisiana",70117,"5423 N. Derbigny St. New Orleans, Louisiana 70117",29.9678984,-90.0157127
Spiritualist,n/a,n/a,Helping Hand Christian Spiritualist Temple of the Living God,Church,Black,full address provided,2925 Audubon St.,"New Orleans, Louisiana",70125,"2925 Audubon St. New Orleans, Louisiana 70125",29.9558146,-90.1111106
Spiritualist,n/a,n/a,Helping Hand Spiritual Church,Church,Black,full address provided,1826 Villere St.,"New Orleans, Louisiana",70116,"1826 Villere St. New Orleans, Louisiana 70116",29.971117,-90.06106
Spiritualist,n/a,n/a,Holy Cross Spiritualist Church,Church,Black,full address provided,2020 Marigny St.,"New Orleans, Louisiana",70117,"2020 Marigny St. New Orleans, Louisiana 70117",29.978201,-90.056537
Spiritualist,n/a,n/a,The Holy Manger of God,Church,Black,full address provided,2420 Charbonnet St.,"New Orleans, Louisiana",70117,"2420 Charbonnet St. New Orleans, Louisiana 70117",29.974567,-90.009711
Spiritualist,n/a,n/a,Israelite Divine Spiritualist Church,Church,Black,full address provided,631 S. Roman St.,"New Orleans, Louisiana",70112,"631 S. Roman St. New Orleans, Louisiana 70112",29.9544969,-90.0831075
Spiritualist,n/a,n/a,Little Star of Beacon Light Spiritualist Church,Church,Black,full address provided,2522 Belmont Place,"New Orleans, Louisiana",70115,"2522 Belmont Place New Orleans, Louisiana 70115",29.9375306,-90.0939231
Spiritualist,n/a,n/a,Moses Temple Spiritualist Church,Church,Black,full address provided,9028 Marks St.,"New Orleans, Louisiana",70118,"9028 Marks St. New Orleans, Louisiana 70118",29.9744771,-90.1157415
Spiritualist,n/a,n/a,Mount Ararat Divine Spiritualist Church,Church,Black,full address provided,8922 Cohn St.,"New Orleans, Louisiana",70118,"8922 Cohn St. New Orleans, Louisiana 70118",29.9579753,-90.1317118
Spiritualist,n/a,n/a,Sacred Heart Spiritual Mission,Church,Black,full address provided,1120 Burgundy St.,"New Orleans, Louisiana",70116,"1120 Burgundy St. New Orleans, Louisiana 70116",29.963283,-90.064041
Spiritualist,n/a,n/a,Sacred Heart Spiritualist Church,Church,Black,full address provided,813 Lesseps St.,"New Orleans, Louisiana",70117,"813 Lesseps St. New Orleans, Louisiana 70117",29.9620985,-90.0333636
Spiritualist,n/a,n/a,St. Daniel's Spiritual Temple,Church,Black,full address provided,2611 S. Robertson St.,"New Orleans, Louisiana",70113,"2611 S. Robertson St. New Orleans, Louisiana 70113",29.940282,-90.09097
Spiritualist,n/a,n/a,St. Daniel's Spiritual Temple Branch No. 2,Church,Black,full address provided,4713 Loyola St.,"New Orleans, Louisiana",70113,"4713 Loyola St. New Orleans, Louisiana 70113",29.9495482,-90.0762615
Spiritualist,n/a,n/a,St. Daniel's Spiritualist Temple of Christian Faith,Church,Black,full address provided,2810 Melpomene St.,"New Orleans, Louisiana",70130,"2810 Melpomene St. New Orleans, Louisiana 70130",29.9391713,-90.075551
Spiritualist,n/a,n/a,St. Expedite Spiritual Temple,Church,Black,full address provided,1926 Fourth St.,"New Orleans, Louisiana",70113,"1926 Fourth St. New Orleans, Louisiana 70113",29.934338,-90.087652
Spiritualist,n/a,n/a,St. James' Temple of Christian Faith,Church,Black,full address provided,2800 Second St.,"New Orleans, Louisiana",70113,"2800 Second St. New Orleans, Louisiana 70113",29.9421532,-90.0910134
Spiritualist,n/a,n/a,St. James' Temple of Christian Faith No. 7,Church,Black,full address provided,2313 Felicity St.,"New Orleans, Louisiana",70113,"2313 Felicity St. New Orleans, Louisiana 70113",29.942842,-90.084597
Spiritualist,n/a,n/a,St. John's Spiritualist Temple No. 8,Church,Black,full address provided,1401 S. Liberty St.,"New Orleans, Louisiana",70113,"1401 S. Liberty St. New Orleans, Louisiana 70113",29.9438664,-90.0821028
Spiritualist,n/a,n/a,St. John's Spiritualist Temple No. l6,Church,Black,full address provided,2011 Philip St.,"New Orleans, Louisiana",70113,"2011 Philip St. New Orleans, Louisiana 70113",29.9372869,-90.0846234
Spiritualist,n/a,n/a,St. John's Spiritualist Temple No. 27,Church,Black,full address provided,1925 First St.,"New Orleans, Louisiana",70113,"1925 First St. New Orleans, Louisiana 70113",29.9359282,-90.084766
Spiritualist,n/a,n/a,St. John's Temple of Spiritual Faith,Church,Black,full address provided,2620 Thalia St.,"New Orleans, Louisiana",70113,"2620 Thalia St. New Orleans, Louisiana 70113",29.945409,-90.085162
Spiritualist,n/a,n/a,St. Joseph's Helping Hand Chapel,Church,Black,full address provided,1901 Fourth St.,"New Orleans, Louisiana",70113,"1901 Fourth St. New Orleans, Louisiana 70113",29.934096,-90.0870274
Spiritualist,n/a,n/a,St. Joseph's Helping Hand Church,Church,Black,full address provided,1228 Brooklyn Ave.,"New Orleans, Louisiana",70114,"1228 Brooklyn Ave. New Orleans, Louisiana 70114",29.942627,-90.052919
Spiritualist,n/a,n/a,St. Joseph's Helping Hand,Church,Black,full address provided,417 Burgundy St.,"New Orleans, Louisiana",70112,"417 Burgundy St. New Orleans, Louisiana 70112",29.957921,-90.0693756
Spiritualist,n/a,n/a,St. Joseph's Spiritualist Temple,Church,Black,full address provided,2516 Danneel St.,"New Orleans, Louisiana",70113,"2516 Danneel St. New Orleans, Louisiana 70113",29.935208,-90.086228
Spiritualist,n/a,n/a,St. Josephine's Spiritualist Temple,Church,Black,full address provided,3008 Jackson Ave.,"New Orleans, Louisiana",70125,"3008 Jackson Ave. New Orleans, Louisiana 70125",29.9459711,-90.0911466
Spiritualist,n/a,n/a,St. Josephine's Spiritualist Temple,Church,Black,full address provided,2214 Seventh St.,"New Orleans, Louisiana",70115,"2214 Seventh St. New Orleans, Louisiana 70115",29.9349294,-90.0922181
Spiritualist,n/a,n/a,St. Luke's Spiritual Church,Church,Black,full address provided,2412 Calliope St..,"New Orleans, Louisiana",70113,"2412 Calliope St.. New Orleans, Louisiana 70113",29.9452568,-90.0795265
Spiritualist,n/a,n/a,St. Matthew's Christian Faith Church,Church,Black,full address provided,4721 Constance St.,"New Orleans, Louisiana",70115,"4721 Constance St. New Orleans, Louisiana 70115",29.9196677,-90.1055338
Spiritualist,n/a,n/a,St. Michael's Christian Faith Spiritual Church,Church,Black,full address provided,1901 Independence St.,"New Orleans, Louisiana",70117,"1901 Independence St. New Orleans, Louisiana 70117",29.9744778,-90.0354059
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple,Church,Black,full address provided,1731 St. Ann St.,"New Orleans, Louisiana",70116,"1731 St. Ann St. New Orleans, Louisiana 70116",29.9654496,-90.0733827
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. l,Church,Black,full address provided,2343 Felicity St.,"New Orleans, Louisiana",70113,"2343 Felicity St. New Orleans, Louisiana 70113",29.9429491,-90.0850965
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. 2,Church,Black,full address provided,2810 Melpomene St.,"New Orleans, Louisiana",70130,"2810 Melpomene St. New Orleans, Louisiana 70130",29.9391713,-90.075551
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. 3,Church,Black,full address provided,2308 Magazine St.,"New Orleans, Louisiana",70130,"2308 Magazine St. New Orleans, Louisiana 70130",29.9286115,-90.0777785
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. 4,Church,Black,full address provided,2224 Philip St.,"New Orleans, Louisiana",70113,"2224 Philip St. New Orleans, Louisiana 70113",29.9384857,-90.0862759
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. 5,Church,Black,full address provided,2611 S. Robertson St.,"New Orleans, Louisiana",70113,"2611 S. Robertson St. New Orleans, Louisiana 70113",29.940282,-90.09097
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. 6,Church,Black,full address provided,8901 Willow St.,"New Orleans, Louisiana",70118,"8901 Willow St. New Orleans, Louisiana 70118",29.9541383,-90.1349081
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple of Faith No. 9,Church,Black,full address provided,2210 Delachaise St.,"New Orleans, Louisiana",70115,"2210 Delachaise St. New Orleans, Louisiana 70115",29.9334957,-90.0955258
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. l0,Church,Black,full address provided,9100 Hickory St.,"New Orleans, Louisiana",70121,"9100 Hickory St. New Orleans, Louisiana 70121",29.9585164,-90.1338208
Spiritualist,n/a,n/a,St. Michael's Spiritualist Temple No. l2,Church,Black,full address provided,1516 S. Liberty St.,"New Orleans, Louisiana",70113,"1516 S. Liberty St. New Orleans, Louisiana 70113",29.9425272,-90.0827485
