Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Jewish Congregation,Orthodox,n/a,Congregation Agudath Achim Anshe Sfard,Synagogue,Jewish,full address provided,2230 Carondolet St.,"New Orleans, Louisiana",70130,"2230 Carondolet St. New Orleans, Louisiana 70130",29.9343885,-90.0817033
Jewish Congregation,Orthodox,n/a,Congregation Beth Israel,Synagogue,Jewish,full address provided, 1616 Carondelet St.,"New Orleans, Louisiana",70130,"1616 Carondelet St. New Orleans, Louisiana 70130",29.9385703,-90.0772682
Jewish Congregation,Orthodox,n/a,Congregation Chevra Thilim,Synagogue,Jewish,full address provided,826 Lafayette St.,"New Orleans, Louisiana",70113,"826 Lafayette St. New Orleans, Louisiana 70113",29.9485794,-90.072943
Jewish Congregation,Reform,n/a,Congregation Gates of Prayer,Synagogue,Jewish,full address provided,1139 Napoleon Ave.,"New Orleans, Louisiana",70115,"1139 Napoleon Ave. New Orleans, Louisiana 70115",29.923554,-90.1012205
Jewish Congregation,Reform,n/a,Congregation Temple Sinai,Synagogue,Jewish,full address provided,6221 St. Charles Ave.,"New Orleans, Louisiana",70118,"6221 St. Charles Ave. New Orleans, Louisiana 70118",29.9329508,-90.1199087
Jewish Congregation,Orthodox,n/a,Orthodox Jewish Synagogue,Synagogue,Jewish,full address provided,2137 Milan St.,"New Orleans, Louisiana",70115,"2137 Milan St. New Orleans, Louisiana 70115",29.932443,-90.100015
Jewish Congregation,Reform,n/a,Touro Synagogue,Synagogue,Jewish,full address provided,4238 St. Charles Ave.,"New Orleans, Louisiana",70115,"4238 St. Charles Ave. New Orleans, Louisiana 70115",29.9260397,-90.1004535
Jewish Congregation,n/a,n/a,Beth Israel Cemetery,Jewish Cemeteries,Jewish,Anthony and Canal Sts.,Anthony and Canal Sts.,"New Orleans, Louisiana",70119,"Anthony and Canal Sts. New Orleans, Louisiana 70119",29.9781941,-90.1066236
Jewish Congregation,n/a,n/a,Beth Israel Cemetery,Jewish Cemeteries,Jewish,full address provided,4300 Frenchmen St.,"New Orleans, Louisiana",70122,"4300 Frenchmen St. New Orleans, Louisiana 70122",30.0020358,-90.0610591
Jewish Congregation,n/a,n/a,Cemetery Ahavas Sholom,Jewish Cemeteries,Jewish,full address provided,4401 Frenchmen St.,"New Orleans, Louisiana",70122,"4401 Frenchmen St. New Orleans, Louisiana 70122",30.0029293,-90.060891
Jewish Congregation,n/a,n/a,Cemetery Association of Congregation Dispersed of Judah,Jewish Cemeteries,Jewish,"Canal St. Bounded by N. Anthony, Helena, Iberville and Canal Sts.",4937 Canal St.,"New Orleans, Louisiana",70119,"4937 Canal St. New Orleans, Louisiana 70119",29.9804989,-90.1092786
Jewish Congregation,n/a,n/a,Cemetery Gates of Prayer,Jewish Cemeteries,Jewish,"Joseph St. Bounded by Pitt, Garfield and Arabella Sts.",4824 Canal St.,"New Orleans, Louisiana",70119,"4824 Canal St. New Orleans, Louisiana 70119",29.9796046,-90.1083548
Jewish Congregation,n/a,n/a,"Kebrevr Rest Cemeteries Nos, l and 2 Association",Jewish Cemeteries,Jewish,full address provided,4100 Frenchmen St.,"New Orleans, Louisiana",70122,"4100 Frenchmen St. New Orleans, Louisiana 70122",30.0003551,-90.0612669
Jewish Congregation,n/a,n/a,Jewish Burial Rites Association,Jewish Cemeteries,Jewish,full address provided,1629 Euterpe St.,"New Orleans, Louisiana",70130,"1629 Euterpe St. New Orleans, Louisiana 70130",29.9382927,-90.077213
